Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Pepe,1960-12-21,"Mario ""Cantinflas"" Moreno is a hired hand, Pepe, employed on a ranch. A boozing Hollywood director buys a white stallion that belongs to Pepe's boss. Pepe, determined to get the horse back (as he considers it his family), decides to take off to Hollywood. There he meets film stars including Jimmy Durante, Frank Sinatra, Zsa Zsa Gabór, Bing Crosby, Maurice Chevalier and Jack Lemmon in drag as Daphne from Some Like It Hot. He is also surprised by things that were new in America at the time, such as automatic swinging doors. When he finally reaches the man who bought the horse, he is led to believe there is no hope of getting it back. However, the last scene shows both him and the stallion back at the ranch with several foals.",6,45,en,Comedy;Music,180,A New Excitement in Screen Entertainment!,0,0,POSA Films;Columbia Pictures,Mexico;United States of America,English,tt0054172
Swiss Family Robinson,1960-12-21,"After being shipwrecked, the Robinson family is marooned on an island inhabited only by an impressive array of wildlife. In true pioneer spirit, they quickly make themselves at home but soon face a danger even greater than nature: dastardly pirates.",6.892,300,en,Adventure;Family,126,THE ADVENTURE OF ADVENTURES!,5000000,40356000,Walt Disney Productions,United States of America,English,tt0054357
The Grass Is Greener,1960-12-23,"Victor and Hillary are down on their luck to the point that they allow tourists to take guided tours of their castle. But Charles Delacro, a millionaire oil tycoon, visits, and takes a liking to more than the house. Soon, Hattie Durant gets involved and they have a good old fashioned love triangle.",6.292,124,en,Comedy;Romance,104,Ever See a Four-Sided Triangle?,0,6000000,Grandon Productions,United Kingdom,English;Français,tt0053877
The Great Impostor,1960-12-23,"Fictionalized account of Ferdinand Waldo Demara Jr., who stole or created fictional identities and worked in a variety of occupations, most quite successfully.",6.9,20,en,Comedy;Drama,112,Will the Real Fred Demara Please Stand Up??,0,0,Universal International Pictures,United States of America,English,tt0053879
Where the Boys Are,1960-12-28,"Good girls Merritt, Melanie, Tuggle and Angie - all students at mid-western Penmore University - are planning on going to Fort Lauderdale, Florida for spring break to get away from the mid-western snow despite not having much money to spend once there. On the drive down, they admit their real purpose is to go where the boys are.",6.1,31,en,Comedy;Drama;Romance,99,The hilarious inside story of those rip-roaring spring vacations!,2000000,3500000,Euterpe Productions;Metro-Goldwyn-Mayer,United States of America,Español;English,tt0054469
The Wackiest Ship in the Army,1960-12-29,"Lieutenant Rip Crandall is hoodwinked into taking command of the ""Wackiest Ship in the Navy"" – a real garbage scow with a crew of misfits who don't know a jib from a jigger. What none of them knows, including Crandall, is that this ship has a very important top-secret mission to complete in waters patrolled by the Japanese fleet. Their mission will save hundreds of allied lives – if only they can get there in one piece.",5.986,35,en,Comedy;War,99,You'll crack your timbers when you see how the Navy sticks the Army sad sacks with the crumbiest ship afloat!,0,0,Columbia Pictures,United States of America,English,tt0054453
Come September,1961-01-01,"Robert Talbot, an American millionaire, arrives early for his annual vacation at his luxurious Italian villa. His long-time girlfriend Lisa has given up waiting for him and has decided to marry another man. Meanwhile, his sneaky business associate Maurice secretly misappropriates the villa as a hotel while Talbot is away. The current guests of the ""hotel"" are a group of young American girls.",6.725,71,en,Comedy;Romance,112,A Quiet hideaway... A Secret rendezvous... then the teen-agers barged in!,0,14170000,Universal International Pictures;Raoul Walsh Enterprises,United States of America,English;Italiano,tt0054759
Konga,1961-01-01,"Dr. Decker returns from Africa after a year, presumed dead. In that year, he discovered a way of growing plants and animals to an enormous size. He brings back a baby chimpanzee to test out his theory. As he has many enemies at home, he decides to use his chimp, 'Konga', to 'get rid of them'. Then Konga grows to gigantic proportions and wreaks havoc all over London!",4.3,33,en,Horror;Science Fiction,90,"Not since ""King Kong""...has the screen exploded with such mighty fury and spectacle!",0,0,Merton Park Studios;American International Pictures;Anglo-Amalgamated,United Kingdom;United States of America,English,tt0055058
Nude on the Moon,1961-01-01,"A rich rocket scientist organizes an expedition to the moon, which they discover is inhabited by nude women.",4,26,en,Comedy;Fantasy;Science Fiction,71,A truly different adventure!,0,0,Moon Productions,United States of America,English,tt0056293
The Marriage-Go-Round,1961-01-06,"An anthropology professor and his professor wife have the perfect marriage--until a Swedish colleague's daughter comes to visit.  Not only is the little girl all grown up, but she's ready to start a family--with him!",4.8,4,en,Comedy,98,THIS MAN HAS A PROBLEM!,0,0,Daystar Productions,United States of America,Deutsch;English,tt0054064
One Hundred and One Dalmatians,1961-01-25,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.
 In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",7.183,6148,en,Adventure;Animation;Comedy;Family,79,The Canine Caper of the Century,3600000,303000000,Walt Disney Productions,United States of America,English,tt0055254
A Fever in the Blood,1961-01-28,"A judge, a district attorney and a U. S. senator--each hoping to be elected the next governor--attempt to manipulate a murder trial to advance their own political ambitions. Director Vincent Sherman's 1961 drama stars Efrem Zimbalist Jr., Don Ameche, Jack Kelly, Angie Dickinson, Herbert Marshall, Jesse White, Parley Baer, Carroll O'Connor, Ray Danton, Andra Martin, Rhodes Reason and Louise Lorimer.",6.5,2,en,Drama,117,Searing Raw on the Screen from the Glowing Hot Pages of the Best Seller!,0,0,Warner Bros. Pictures,United States of America,English,tt0054873
The Human Condition III: A Soldier's Prayer,1961-01-28,"After the Japanese defeat to the Russians, Kaji leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines.",8.3,171,ja,War;Drama;History,190,Love is the Condition for Being Human.,0,0,Ninjin Club,Japan,普通话;日本語;Pусский,tt0055233
The Misfits,1961-02-01,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",6.946,367,en,Western;Drama;Romance,124,It shouts and sings with life ... explodes with love!,4000000,8200000,United Artists;Seven Arts Productions;Metro-Goldwyn-Mayer,United States of America,English,tt0055184
Gorgo,1961-02-02,Greedy sailors capture a giant lizard off the coast of Ireland and sell it to a London circus. Then its mother shows up.,5.5,90,en,Science Fiction;Action;Horror,78,Like nothing you've ever seen before!,650000,0,King Brothers Productions;Metro-Goldwyn-Mayer;British Lion Films,Ireland;United Kingdom,English;Gaeilge,tt0054938
No Love for Johnnie,1961-02-14,"Johnnie Byrne is a member of the British Parliament. In his 40s, he's feeling frustrated with his life and his personal as well as professional problems tower up over him. His desires to win the next election are endangered by his constant looking for love and he is faced with the choice of giving up a career in politics or giving up the woman he loves.",5.5,6,en,Drama,110,It Scorches With All the Intensity of Truth,0,0,Five Star Films Ltd.,United Kingdom,English,tt0055234
Reptilicus,1961-02-20,"A portion of the tail of a prehistoric reptile is discovered in Denmark. It regenerates into the entire reptile, which proceeds to destroy buildings and property and generally make a nuisance of itself. It can fly, swim, and walk, and has impenetrable scales, which makes it difficult to kill.",3.6,95,da,Horror;Science Fiction,92,Invincible...Indestructible! What was this awesome BEAST born 50 million years out of time?,0,0,Cinemagic;American International Pictures;Sidney Pink Production;Saga Studio,Denmark;United States of America,Dansk;English,tt0056405
Underworld U.S.A.,1961-02-22,A bitter young man sets out to get back at the gangsters who murdered his father.  Preserved by the Academy Film Archive in partnership with Sony Pictures Entertainment in 2000.,6.9,78,en,Crime;Thriller,99,A Sensational Film That Puts the Finger On Today's Biggest Business... Crime!,0,0,Globe Enterprises;Columbia Pictures,United States of America,English,tt0055571
